epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381649,7.09,7.09,347.32
2,1.205314,7.09,14.18,340.31
3,1.124174,7.11,21.30,333.62
4,1.098792,7.11,28.41,326.69
5,1.085084,7.09,35.50,319.54
6,1.074452,7.09,42.60,312.37
7,1.065808,7.09,49.69,305.23
8,1.059684,7.11,56.81,298.23
9,1.056326,7.09,63.89,291.07
10,1.055307,7.08,70.98,283.91
11,1.055911,7.10,78.08,276.83
12,1.057492,7.13,85.21,269.84
13,1.059578,7.18,92.39,262.96
14,1.061820,7.20,99.59,256.10
15,1.063905,7.13,106.73,249.04
16,1.065481,7.14,113.88,241.99
17,1.066123,7.12,121.00,234.89
18,1.065404,7.09,128.09,227.72
19,1.063083,7.10,135.20,220.59
20,1.059338,7.10,142.30,213.45
21,1.054769,7.13,149.44,206.37
22,1.050110,7.09,156.53,199.22
23,1.045889,7.12,163.66,192.12
24,1.042280,7.11,170.77,185.00
25,1.039163,7.10,177.87,177.87
26,1.036353,7.10,184.97,170.74
27,1.033852,7.09,192.07,163.61
28,1.031837,7.10,199.17,156.49
29,1.030464,7.09,206.26,149.36
30,1.029818,7.09,213.36,142.24
31,1.029983,7.11,220.46,135.12
32,1.031014,7.09,227.56,128.00
33,1.032858,7.09,234.65,120.88
34,1.035342,7.08,241.74,113.76
35,1.038237,7.10,248.84,106.64
36,1.041331,7.09,255.93,99.53
37,1.044464,7.09,263.02,92.41
38,1.047538,7.10,270.12,85.30
39,1.050495,7.09,277.21,78.19
40,1.053291,7.09,284.30,71.08
41,1.055871,7.12,291.42,63.97
42,1.058139,7.10,298.52,56.86
43,1.059929,7.09,305.61,49.75
44,1.060990,7.09,312.70,42.64
45,1.061016,7.09,319.79,35.53
46,1.059744,7.09,326.88,28.42
47,1.057133,7.07,333.95,21.32
48,1.053515,7.08,341.04,14.21
49,1.049571,7.09,348.13,7.10
50,1.046094,7.09,355.22,0.00
