epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381676,42.65,42.65,2089.85
2,1.205312,43.02,85.68,2056.27
3,1.124174,44.79,130.47,2044.03
4,1.098794,45.11,175.58,2019.16
5,1.085088,46.25,221.83,1996.50
6,1.074456,45.45,267.29,1960.13
7,1.065813,42.34,309.64,1902.05
8,1.059690,42.56,352.20,1849.04
9,1.056332,44.17,396.37,1805.69
10,1.055314,43.26,439.64,1758.54
11,1.055919,42.79,482.43,1710.44
12,1.057500,43.14,525.57,1664.31
13,1.059587,42.82,568.39,1617.73
14,1.061829,43.20,611.60,1572.68
15,1.063915,42.90,654.50,1527.18
16,1.065490,42.78,697.29,1481.74
17,1.066131,41.76,739.05,1434.63
18,1.065409,43.10,782.15,1390.49
19,1.063087,40.29,822.44,1341.88
20,1.059339,41.10,863.55,1295.32
21,1.054769,40.11,903.66,1247.92
22,1.050109,40.90,944.56,1202.17
23,1.045887,39.46,984.03,1155.16
24,1.042279,39.96,1023.99,1109.33
25,1.039162,43.32,1067.31,1067.31
26,1.036352,44.82,1112.13,1026.58
27,1.033852,42.65,1154.78,983.71
28,1.031838,41.45,1196.24,939.90
29,1.030466,40.55,1236.79,895.61
30,1.029823,43.05,1279.84,853.22
31,1.029990,42.11,1321.95,810.23
32,1.031023,43.03,1364.97,767.80
33,1.032869,42.63,1407.60,725.13
34,1.035355,43.40,1451.01,682.83
35,1.038252,43.09,1494.10,640.33
36,1.041346,44.27,1538.37,598.26
37,1.044480,43.36,1581.74,555.75
38,1.047555,43.31,1625.05,513.17
39,1.050511,43.51,1668.57,470.62
40,1.053307,42.83,1711.40,427.85
41,1.055887,41.62,1753.02,384.81
42,1.058154,37.12,1790.15,340.98
43,1.059942,44.05,1834.20,298.59
44,1.061000,42.45,1876.66,255.91
45,1.061022,40.44,1917.10,213.01
46,1.059743,40.43,1957.53,170.22
47,1.057126,39.34,1996.87,127.46
48,1.053505,39.20,2036.07,84.84
49,1.049560,39.01,2075.08,42.35
50,1.046087,39.32,2114.41,0.00
