epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381649,8.46,8.46,414.44
2,1.205314,8.40,16.85,404.50
3,1.124174,8.39,25.24,395.50
4,1.098792,8.44,33.69,387.40
5,1.085084,8.45,42.14,379.25
6,1.074452,8.68,50.82,372.68
7,1.065808,8.39,59.21,363.70
8,1.059684,8.46,67.67,355.26
9,1.056326,8.39,76.06,346.47
10,1.055307,12.25,88.30,353.21
11,1.055911,10.37,98.67,349.84
12,1.057492,10.97,109.64,347.19
13,1.059578,9.74,119.38,339.77
14,1.061820,9.46,128.84,331.29
15,1.063905,9.01,137.85,321.65
16,1.065481,8.79,146.65,311.62
17,1.066123,8.72,155.36,301.58
18,1.065404,8.89,164.25,292.00
19,1.063083,9.72,173.98,283.86
20,1.059338,9.49,183.47,275.20
21,1.054769,10.20,193.67,267.44
22,1.050110,9.47,203.14,258.54
23,1.045889,10.35,213.49,250.62
24,1.042280,9.70,223.19,241.79
25,1.039163,9.14,232.33,232.33
26,1.036353,8.56,240.89,222.36
27,1.033852,8.72,249.61,212.63
28,1.031837,8.53,258.14,202.82
29,1.030464,8.49,266.63,193.08
30,1.029818,9.51,276.14,184.09
31,1.029983,10.49,286.62,175.67
32,1.031014,9.39,296.01,166.51
33,1.032858,9.33,305.34,157.30
34,1.035342,9.00,314.34,147.92
35,1.038237,9.90,324.24,138.96
36,1.041331,15.25,339.49,132.02
37,1.044464,10.14,349.63,122.84
38,1.047538,9.74,359.37,113.48
39,1.050495,9.07,368.43,103.92
40,1.053291,8.62,377.05,94.26
41,1.055871,8.51,385.56,84.64
42,1.058139,13.53,399.09,76.02
43,1.059929,10.18,409.27,66.63
44,1.060990,9.75,419.02,57.14
45,1.061016,9.36,428.38,47.60
46,1.059744,9.27,437.64,38.06
47,1.057133,9.08,446.72,28.51
48,1.053515,9.16,455.88,18.99
49,1.049571,9.52,465.40,9.50
50,1.046094,10.12,475.52,0.00
