epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381676,3.23,3.23,158.29
2,1.205312,3.21,6.45,154.69
3,1.124174,3.23,9.67,151.57
4,1.098794,3.26,12.94,148.78
5,1.085088,3.28,16.22,145.98
6,1.074456,3.23,19.45,142.60
7,1.065813,3.23,22.67,139.28
8,1.059690,3.26,25.94,136.17
9,1.056332,3.22,29.16,132.84
10,1.055314,3.56,32.72,130.86
11,1.055919,3.23,35.95,127.45
12,1.057500,3.21,39.16,124.00
13,1.059587,3.24,42.40,120.68
14,1.061829,3.48,45.88,117.99
15,1.063915,3.57,49.45,115.38
16,1.065490,3.48,52.94,112.49
17,1.066131,3.22,56.16,109.01
18,1.065409,3.23,59.39,105.57
19,1.063087,3.21,62.60,102.13
20,1.059339,3.22,65.82,98.73
21,1.054769,3.21,69.03,95.33
22,1.050109,3.22,72.25,91.96
23,1.045887,3.23,75.48,88.61
24,1.042279,3.28,78.76,85.33
25,1.039162,3.23,82.00,82.00
26,1.036352,3.23,85.22,78.67
27,1.033852,3.22,88.44,75.34
28,1.031838,3.30,91.74,72.08
29,1.030466,3.59,95.34,69.04
30,1.029823,3.22,98.56,65.71
31,1.029990,3.22,101.78,62.38
32,1.031023,3.23,105.01,59.07
33,1.032869,3.25,108.26,55.77
34,1.035355,3.25,111.51,52.48
35,1.038252,3.23,114.74,49.17
36,1.041346,3.25,117.99,45.88
37,1.044480,3.22,121.20,42.58
38,1.047555,3.22,124.42,39.29
39,1.050511,3.21,127.63,36.00
40,1.053307,3.27,130.90,32.73
41,1.055887,3.24,134.15,29.45
42,1.058154,3.29,137.43,26.18
43,1.059942,3.25,140.69,22.90
44,1.061000,3.29,143.98,19.63
45,1.061022,3.24,147.22,16.36
46,1.059743,3.21,150.43,13.08
47,1.057126,3.57,154.01,9.83
48,1.053505,3.21,157.22,6.55
49,1.049560,3.25,160.47,3.27
50,1.046087,3.37,163.84,0.00
