epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381676,3.24,3.24,158.82
2,1.205312,3.22,6.46,155.14
3,1.124174,3.23,9.70,151.91
4,1.098794,3.22,12.92,148.56
5,1.085088,3.44,16.36,147.26
6,1.074456,3.58,19.94,146.22
7,1.065813,3.23,23.17,142.33
8,1.059690,3.24,26.41,138.68
9,1.056332,3.44,29.85,135.98
10,1.055314,3.54,33.39,133.57
11,1.055919,3.24,36.63,129.88
12,1.057500,3.23,39.86,126.22
13,1.059587,3.26,43.12,122.71
14,1.061829,3.23,46.34,119.17
15,1.063915,3.24,49.58,115.69
16,1.065490,3.22,52.80,112.20
17,1.066131,3.23,56.03,108.77
18,1.065409,3.30,59.33,105.48
19,1.063087,3.24,62.58,102.10
20,1.059339,3.24,65.82,98.73
21,1.054769,3.27,69.09,95.41
22,1.050109,3.31,72.40,92.14
23,1.045887,3.26,75.66,88.81
24,1.042279,3.59,79.24,85.85
25,1.039162,3.23,82.47,82.47
26,1.036352,3.23,85.70,79.11
27,1.033852,3.26,88.96,75.78
28,1.031838,3.27,92.22,72.46
29,1.030466,3.26,95.48,69.14
30,1.029823,3.23,98.71,65.81
31,1.029990,3.23,101.94,62.48
32,1.031023,3.23,105.17,59.16
33,1.032869,3.24,108.41,55.85
34,1.035355,3.23,111.63,52.53
35,1.038252,3.30,114.94,49.26
36,1.041346,3.29,118.23,45.98
37,1.044480,3.23,121.46,42.68
38,1.047555,3.25,124.71,39.38
39,1.050511,3.23,127.94,36.09
40,1.053307,3.24,131.18,32.79
41,1.055887,3.31,134.48,29.52
42,1.058154,3.68,138.16,26.32
43,1.059942,3.23,141.39,23.02
44,1.061000,3.23,144.62,19.72
45,1.061022,3.23,147.85,16.43
46,1.059743,3.27,151.12,13.14
47,1.057126,3.28,154.40,9.86
48,1.053505,3.22,157.62,6.57
49,1.049560,3.24,160.86,3.28
50,1.046087,3.24,164.10,0.00
