epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381676,3.80,3.80,186.26
2,1.205312,3.57,7.37,176.93
3,1.124174,3.67,11.04,173.03
4,1.098794,3.49,14.53,167.10
5,1.085088,3.37,17.90,161.07
6,1.074456,3.82,21.72,159.28
7,1.065813,3.44,25.16,154.56
8,1.059690,3.22,28.38,149.00
9,1.056332,3.27,31.65,144.18
10,1.055314,3.23,34.88,139.50
11,1.055919,3.23,38.10,135.09
12,1.057500,3.23,41.33,130.87
13,1.059587,3.22,44.55,126.80
14,1.061829,3.33,47.88,123.11
15,1.063915,3.22,51.10,119.24
16,1.065490,3.25,54.35,115.49
17,1.066131,3.23,57.58,111.77
18,1.065409,3.29,60.87,108.21
19,1.063087,3.24,64.11,104.60
20,1.059339,3.25,67.36,101.04
21,1.054769,3.28,70.64,97.55
22,1.050109,3.22,73.87,94.01
23,1.045887,3.31,77.18,90.60
24,1.042279,3.26,80.44,87.15
25,1.039162,3.26,83.70,83.70
26,1.036352,3.23,86.93,80.24
27,1.033852,3.24,90.17,76.81
28,1.031838,3.25,93.43,73.41
29,1.030466,3.28,96.71,70.03
30,1.029823,3.27,99.98,66.65
31,1.029990,3.23,103.21,63.26
32,1.031023,3.24,106.45,59.88
33,1.032869,3.28,109.73,56.53
34,1.035355,3.35,113.07,53.21
35,1.038252,3.24,116.31,49.85
36,1.041346,3.21,119.52,46.48
37,1.044480,3.27,122.79,43.14
38,1.047555,3.22,126.01,39.79
39,1.050511,3.29,129.30,36.47
40,1.053307,3.25,132.56,33.14
41,1.055887,3.24,135.79,29.81
42,1.058154,3.26,139.05,26.49
43,1.059942,3.28,142.33,23.17
44,1.061000,3.27,145.60,19.85
45,1.061022,3.22,148.82,16.54
46,1.059743,3.24,152.06,13.22
47,1.057126,3.26,155.32,9.91
48,1.053505,3.23,158.55,6.61
49,1.049560,3.23,161.78,3.30
50,1.046087,3.25,165.03,0.00
