epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381649,7.03,7.03,344.26
2,1.205314,6.99,14.01,336.31
3,1.124174,6.99,21.01,329.10
4,1.098792,7.00,28.00,322.03
5,1.085084,7.01,35.01,315.12
6,1.074452,7.00,42.02,308.13
7,1.065808,6.99,49.01,301.04
8,1.059684,6.99,55.99,293.97
9,1.056326,7.00,62.99,286.97
10,1.055307,6.99,69.99,279.95
11,1.055911,6.99,76.98,272.94
12,1.057492,7.01,83.99,265.97
13,1.059578,7.04,91.03,259.08
14,1.061820,6.99,98.02,252.05
15,1.063905,6.99,105.01,245.03
16,1.065481,6.99,112.01,238.02
17,1.066123,6.99,119.00,231.00
18,1.065404,7.00,126.00,224.00
19,1.063083,6.98,132.98,216.98
20,1.059338,6.76,139.75,209.62
21,1.054769,6.75,146.50,202.32
22,1.050110,6.96,153.47,195.32
23,1.045889,6.83,160.30,188.17
24,1.042280,6.77,167.07,180.99
25,1.039163,6.76,173.83,173.83
26,1.036353,6.76,180.59,166.70
27,1.033852,6.77,187.36,159.60
28,1.031837,6.78,194.13,152.53
29,1.030464,6.77,200.91,145.49
30,1.029818,6.78,207.69,138.46
31,1.029983,6.80,214.48,131.46
32,1.031014,6.78,221.27,124.46
33,1.032858,6.78,228.05,117.48
34,1.035342,6.76,234.81,110.50
35,1.038237,6.76,241.57,103.53
36,1.041331,6.77,248.35,96.58
37,1.044464,6.77,255.12,89.64
38,1.047538,6.77,261.88,82.70
39,1.050495,6.77,268.65,75.77
40,1.053291,6.78,275.43,68.86
41,1.055871,6.77,282.20,61.95
42,1.058139,6.77,288.97,55.04
43,1.059929,6.76,295.73,48.14
44,1.060990,6.78,302.51,41.25
45,1.061016,6.77,309.28,34.36
46,1.059744,6.77,316.05,27.48
47,1.057133,6.77,322.82,20.61
48,1.053515,6.77,329.59,13.73
49,1.049571,6.78,336.37,6.86
50,1.046094,6.78,343.15,0.00
