epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.381676,41.32,41.32,2024.92
2,1.205312,41.14,82.47,1979.27
3,1.124174,41.09,123.56,1935.85
4,1.098794,42.13,165.69,1905.47
5,1.085088,43.78,209.47,1885.23
6,1.074456,42.27,251.74,1846.09
7,1.065813,41.24,292.98,1799.72
8,1.059690,40.23,333.21,1749.35
9,1.056332,41.54,374.75,1707.19
10,1.055314,42.71,417.46,1669.83
11,1.055919,43.79,461.25,1635.34
12,1.057500,42.14,503.39,1594.07
13,1.059587,43.15,546.54,1555.54
14,1.061829,42.26,588.80,1514.05
15,1.063915,41.91,630.71,1471.66
16,1.065490,42.60,673.32,1430.80
17,1.066131,40.81,714.12,1386.24
18,1.065409,42.29,756.42,1344.74
19,1.063087,42.06,798.47,1302.77
20,1.059339,42.24,840.72,1261.07
21,1.054769,42.28,883.00,1219.38
22,1.050109,41.70,924.70,1176.89
23,1.045887,39.77,964.47,1132.20
24,1.042279,40.71,1005.18,1088.95
25,1.039162,41.87,1047.05,1047.05
26,1.036352,40.88,1087.94,1004.25
27,1.033852,40.51,1128.44,961.27
28,1.031838,40.32,1168.76,918.31
29,1.030466,40.72,1209.48,875.83
30,1.029823,40.29,1249.77,833.18
31,1.029990,40.88,1290.65,791.05
32,1.031023,41.24,1331.89,749.19
33,1.032869,40.76,1372.66,707.13
34,1.035355,40.45,1413.10,664.99
35,1.038252,39.85,1452.95,622.69
36,1.041346,40.62,1493.57,580.83
37,1.044480,41.02,1534.59,539.18
38,1.047555,40.51,1575.10,497.40
39,1.050511,40.00,1615.10,455.54
40,1.053307,41.50,1656.59,414.15
41,1.055887,40.84,1697.44,372.61
42,1.058154,40.29,1737.73,331.00
43,1.059942,40.00,1777.73,289.40
44,1.061000,41.52,1819.24,248.08
45,1.061022,39.63,1858.87,206.54
46,1.059743,40.80,1899.68,165.19
47,1.057126,40.66,1940.34,123.85
48,1.053505,41.05,1981.39,82.56
49,1.049560,40.42,2021.81,41.26
50,1.046087,40.82,2062.63,0.00
