epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.118045,1573.85,1573.85,155811.09
2,1.033010,1586.47,3160.32,154855.63
3,1.009938,1582.85,4743.17,153362.58
4,0.996443,1599.40,6342.57,152221.76
5,0.993877,1591.34,7933.91,150744.38
6,0.993878,1578.79,9512.71,149032.41
7,0.994093,1582.22,11094.93,147404.05
8,0.994262,1587.71,12682.64,145850.36
9,0.994374,1592.68,14275.32,144339.36
10,0.994443,1586.89,15862.21,142759.88
11,0.994485,1584.26,17446.47,141157.78
12,0.994510,1569.29,19015.76,139448.90
13,0.994524,1578.02,20593.78,137819.90
14,0.994531,1582.16,22175.93,136223.59
15,0.994536,1589.81,23765.75,134672.57
16,0.994538,1590.50,25356.24,133120.28
17,0.994539,1588.34,26944.58,131552.95
18,0.994540,1594.18,28538.76,130009.91
19,0.994540,1592.76,30131.52,128455.42
20,0.994541,1573.91,31705.43,126821.73
21,0.994541,1590.00,33295.43,125254.24
22,0.994541,1579.07,34874.50,123645.97
23,0.994541,1575.38,36449.88,122027.87
24,0.994541,1588.48,38038.36,120454.81
25,0.994541,1579.51,39617.87,118853.62
26,0.994540,1571.97,41189.85,117232.64
27,0.994540,1581.97,42771.82,115642.34
28,0.994540,1580.13,44351.95,114047.87
29,0.994540,1591.72,45943.67,112482.79
30,0.994540,1577.46,47521.13,110882.64
31,0.994540,1580.93,49102.06,109291.68
32,0.994540,1580.63,50682.69,107700.72
33,0.994540,1575.47,52258.16,106099.90
34,0.994540,1576.96,53835.12,104503.47
35,0.994540,1572.07,55407.20,102899.08
36,0.994540,1581.14,56988.33,101312.59
37,0.994540,1569.17,58557.50,99706.02
38,0.994540,1579.60,60137.10,98118.43
39,0.994540,1572.37,61709.47,96519.94
40,0.994540,1585.82,63295.29,94942.94
41,0.994540,1593.43,64888.72,93376.45
42,0.994540,1581.68,66470.40,91792.46
43,0.994540,1589.72,68060.13,90219.24
44,0.994540,1587.06,69647.19,88641.88
45,0.994540,1587.83,71235.02,87065.03
46,0.994540,1590.24,72825.26,85490.52
47,0.994540,1592.76,74418.02,83918.19
48,0.994540,1594.72,76012.74,82347.13
49,0.994540,1593.12,77605.85,80773.44
50,0.994540,1585.20,79191.05,79191.05
51,0.994540,1589.27,80780.32,77612.46
52,0.994540,1591.43,82371.75,76035.46
53,0.994540,1582.81,83954.56,74450.27
54,0.994540,1585.59,85540.15,72867.54
55,0.994540,1591.62,87131.77,71289.63
56,0.994540,1590.81,88722.57,69710.59
57,0.994540,1596.68,90319.25,68135.58
58,0.994540,1592.20,91911.45,66556.57
59,0.994540,1596.70,93508.15,64980.24
60,0.994540,1590.51,95098.66,63399.11
61,0.994540,1593.47,96692.12,61819.55
62,0.994540,1588.14,98280.26,60236.29
63,0.994540,1568.26,99848.52,58641.19
64,0.994540,1580.09,101428.61,57053.59
65,0.994540,1588.21,103016.82,55470.59
66,0.994540,1570.77,104587.59,53878.45
67,0.994540,1588.72,106176.31,52295.79
68,0.994540,1592.70,107769.01,50714.83
69,0.994540,1592.55,109361.57,49133.46
70,0.994540,1596.82,110958.39,47553.60
71,0.994540,1587.38,112545.77,45969.40
72,0.994540,1591.51,114137.28,44386.72
73,0.994540,1589.13,115726.41,42802.92
74,0.994540,1578.37,117304.77,41215.19
75,0.994540,1585.07,118889.85,39629.95
76,0.994540,1586.17,120476.02,38045.06
77,0.994540,1586.32,122062.34,36460.18
78,0.994540,1584.62,123646.96,34874.78
79,0.994540,1583.23,125230.19,33289.04
80,0.994540,1588.55,126818.74,31704.68
81,0.994540,1588.31,128407.05,30120.17
82,0.994540,1581.18,129988.23,28534.00
83,0.994540,1594.20,131582.43,26950.62
84,0.994540,1589.83,133172.26,25366.14
85,0.994540,1602.70,134774.96,23783.82
86,0.994540,1610.46,136385.42,22202.28
87,0.994540,1616.03,138001.44,20620.91
88,0.994540,1606.66,139608.10,19037.47
89,0.994540,1664.79,141272.89,17460.69
90,0.994540,1632.43,142905.32,15878.37
91,0.994540,1616.72,144522.04,14293.39
92,0.994540,1590.55,146112.58,12705.44
93,0.994540,1595.30,147707.88,11117.80
94,0.994540,1595.21,149303.09,9529.98
95,0.994540,1601.41,150904.50,7942.34
96,0.994540,1587.01,152491.51,6353.81
97,0.994540,1589.07,154080.59,4765.38
98,0.994540,1574.26,155654.85,3176.63
99,0.994540,1579.93,157234.78,1588.23
100,0.994540,1579.68,158814.46,0.00
