epoch,loss,time_seconds,elapsed_seconds,eta_seconds
1,1.118045,1579.22,1579.22,156343.02
2,1.033010,1576.93,3156.16,154651.68
3,1.009938,1583.44,4739.60,153247.01
4,0.996443,1569.80,6309.40,151425.60
5,0.993877,1582.63,7892.03,149948.57
6,0.993878,1582.14,9474.17,148428.74
7,0.994093,1582.80,11056.97,146899.80
8,0.994262,1575.24,12632.21,145270.45
9,0.994374,1574.52,14206.73,143645.84
10,0.994443,1579.28,15786.01,142074.12
11,0.994485,1585.32,17371.33,140549.85
12,0.994510,1584.63,18955.96,139010.41
13,0.994524,1627.21,20583.18,137748.95
14,0.994531,1604.73,22187.90,136297.12
15,0.994536,1630.33,23818.24,134970.00
16,0.994538,1592.59,25410.83,133406.84
17,0.994539,1617.17,27028.00,131960.24
18,0.994540,1613.08,28641.08,130476.02
19,0.994540,1588.71,30229.78,128874.35
20,0.994541,1592.06,31821.84,127287.36
21,0.994541,1601.44,33423.28,125735.19
22,0.994541,1583.72,35007.00,124115.72
23,0.994541,1585.39,36592.39,122504.94
24,0.994541,1586.08,38178.46,120898.47
25,0.994541,1580.17,39758.64,119275.91
26,0.994540,1579.33,41337.96,117654.20
27,0.994540,1584.51,42922.47,116049.65
28,0.994540,1578.99,44501.46,114432.33
29,0.994540,1576.99,46078.46,112812.77
30,0.994540,1584.51,47662.96,111213.58
31,0.994540,1581.51,49244.48,109608.67
32,0.994540,1585.03,50829.50,108012.69
33,0.994540,1583.12,52412.62,106413.51
34,0.994540,1589.88,54002.50,104828.38
35,0.994540,1573.48,55575.98,103212.54
36,0.994540,1580.57,57156.56,101611.66
37,0.994540,1582.08,58738.64,100014.44
38,0.994540,1583.05,60321.69,98419.60
39,0.994540,1584.99,61906.68,96828.39
40,0.994540,1567.80,63474.48,95211.72
41,0.994540,1621.36,65095.84,93674.50
42,0.994540,1618.53,66714.37,92129.37
43,0.994540,1649.32,68363.70,90621.65
44,0.994540,1637.33,70001.03,89092.22
45,0.994540,1655.81,71656.84,87580.59
46,0.994540,1588.70,73245.54,85983.90
47,0.994540,1576.30,74821.84,84373.57
48,0.994540,1585.05,76406.90,82774.14
49,0.994540,1642.74,78049.64,81235.34
50,0.994540,1651.82,79701.46,79701.46
51,0.994540,1615.46,81316.92,78128.02
52,0.994540,1621.85,82938.78,76558.87
53,0.994540,1587.15,84525.93,74956.95
54,0.994540,1624.48,86150.41,73387.39
55,0.994540,1591.03,87741.44,71788.45
56,0.994540,1596.36,89337.80,70193.99
57,0.994540,1594.32,90932.12,68597.92
58,0.994540,1590.63,92522.76,66999.24
59,0.994540,1573.06,94095.82,65388.62
60,0.994540,1573.80,95669.62,63779.75
61,0.994540,1584.27,97253.88,62178.71
62,0.994540,1586.88,98840.76,60579.82
63,0.994540,1579.73,100420.50,58977.12
64,0.994540,1582.15,102002.65,57376.49
65,0.994540,1578.69,103581.34,55774.57
66,0.994540,1581.91,105163.25,54175.01
67,0.994540,1578.27,106741.52,52574.18
68,0.994540,1590.21,108331.72,50979.63
69,0.994540,1573.38,109905.11,49377.66
70,0.994540,1583.19,111488.30,47780.70
71,0.994540,1591.11,113079.41,46187.37
72,0.994540,1589.25,114668.66,44593.37
73,0.994540,1589.56,116258.22,42999.61
74,0.994540,1586.15,117844.37,41404.78
75,0.994540,1586.88,119431.25,39810.42
76,0.994540,1569.05,121000.30,38210.62
77,0.994540,1582.21,122582.51,36615.56
78,0.994540,1581.44,124163.95,35020.60
79,0.994540,1572.54,125736.49,33423.63
80,0.994540,1580.68,127317.17,31829.29
81,0.994540,1585.74,128902.91,30236.49
82,0.994540,1588.91,130491.82,28644.55
83,0.994540,1587.29,132079.12,27052.35
84,0.994540,1580.30,133659.42,25458.94
85,0.994540,1578.94,135238.36,23865.59
86,0.994540,1586.12,136824.48,22273.75
87,0.994540,1572.64,138397.13,20680.03
88,0.994540,1586.42,139983.55,19088.67
89,0.994540,1588.92,141572.47,17497.72
90,0.994540,1582.26,143154.74,15906.08
91,0.994540,1587.62,144742.35,14315.18
92,0.994540,1593.24,146335.59,12724.83
93,0.994540,1585.90,147921.49,11133.88
94,0.994540,1576.25,149497.75,9542.41
95,0.994540,1577.08,151074.83,7951.31
96,0.994540,1577.84,152652.67,6360.53
97,0.994540,1587.79,154240.46,4770.32
98,0.994540,1578.14,155818.60,3179.97
99,0.994540,1586.74,157405.35,1589.95
100,0.994540,1572.91,158978.25,0.00
