algo,n_qubits,mode,competitor,noisy,trials,n_epochs,lret_mean_ms,lret_std_ms,lret_median_ms,lret_min_ms,comp_mean_ms,comp_std_ms,time_ratio,lret_peak_mb,comp_peak_mb,memory_ratio,accuracy_ratio,status
qae,1,sequential,lightning.qubit,False,3,30,1096.5601333106558,79.20450500894552,1148.9302000263706,984.6250999253243,21.152633319919307,0.1035167050153959,51.84036033367211,0.0,0.0,nan,1.0,ok
qae,1,row,lightning.qubit,False,3,30,1142.2717333383237,43.26609743834734,1117.9474999662489,1105.811000103131,21.152633319919307,0.1035167050153959,54.001396235742114,0.0,0.0,nan,1.0,ok
qae,1,column,lightning.qubit,False,3,30,1176.1704667005688,43.69776697149788,1153.7424999987707,1137.5148000661284,21.152633319919307,0.1035167050153959,55.603973694990316,0.0,0.0,nan,1.0,ok
qae,1,batch,lightning.qubit,False,3,30,1089.202033317027,54.3675002007784,1115.3257000260055,1013.5150999994949,21.152633319919307,0.1035167050153959,51.49250293538309,0.0013653333333346989,0.0,nan,1.0,ok
qae,1,hybrid,lightning.qubit,False,3,30,1082.6468666782603,66.35712512392058,1109.4527000095695,991.3594999816269,21.152633319919307,0.1035167050153959,51.18260456293819,0.0,0.0,nan,1.0,ok
qae,1,layer-parallel,lightning.qubit,False,3,30,1181.75916664768,54.89481400196599,1158.4621999645606,1129.2741999495775,21.152633319919307,0.1035167050153959,55.868181931505646,0.0,0.0,nan,1.0,ok
qae,2,sequential,lightning.qubit,False,3,30,1102.7565666784842,83.9685253867393,1130.6193000636995,988.856100011617,25.66383332790186,0.9296055926270994,42.96928493061718,0.0,0.0,nan,1.0,ok
qae,2,row,lightning.qubit,False,3,30,1159.7446666952844,59.45017145174479,1199.9560999684036,1075.6955000106245,25.66383332790186,0.9296055926270994,45.189845642989106,0.0,0.0,nan,1.0,ok
qae,2,column,lightning.qubit,False,3,30,1101.1120666516945,22.43571195307933,1096.5427999617532,1076.2051000492647,25.66383332790186,0.9296055926270994,42.90520642738743,0.0,0.0,nan,1.0,ok
qae,2,batch,lightning.qubit,False,3,30,1102.393366668063,65.46332247960224,1117.0488999923691,1015.90070000384,25.66383332790186,0.9296055926270994,42.95513271860034,0.0,0.0,nan,1.0,ok
qae,2,hybrid,lightning.qubit,False,3,30,1241.4140333421528,75.49498462499649,1193.018399993889,1183.194400044158,25.66383332790186,0.9296055926270994,48.37212030957514,0.0,0.0,nan,1.0,ok
qae,2,layer-parallel,lightning.qubit,False,3,30,1216.221999997894,62.30039115417701,1208.036799915135,1144.342500017956,25.66383332790186,0.9296055926270994,47.390504156509266,0.0013653333333346989,0.0,nan,1.0,ok
qae,3,sequential,lightning.qubit,False,3,30,1055.6197999976575,20.527373760109715,1046.3803000748158,1036.4060999127105,27.8002666697527,0.19269872817600098,37.97157101180598,0.004096000000004096,0.0,nan,1.0,ok
qae,3,row,lightning.qubit,False,3,30,1136.4220666388671,36.00677381102573,1157.5220000231639,1085.7369999866933,27.8002666697527,0.19269872817600098,40.878099485114625,0.0,0.0,nan,1.0,ok
qae,3,column,lightning.qubit,False,3,30,1098.3140333555639,17.07538922299258,1107.7441000379622,1074.3464999832213,27.8002666697527,0.19269872817600098,39.50732007008241,0.0,0.0,nan,1.0,ok
qae,3,batch,lightning.qubit,False,3,30,1169.7166999801993,83.21747548287215,1163.5244999779388,1071.033800020814,27.8002666697527,0.19269872817600098,42.07573667819801,0.0,0.0,nan,1.0,ok
qae,3,hybrid,lightning.qubit,False,3,30,1172.0574666978791,58.34433478362285,1204.892700072378,1090.0847000302747,27.8002666697527,0.19269872817600098,42.15993611216339,0.0,0.0,nan,1.0,ok
qae,3,layer-parallel,lightning.qubit,False,3,30,1169.4866000519444,66.26623502058257,1178.4878000617027,1084.2020000563934,27.8002666697527,0.19269872817600098,42.067459781757115,0.0,0.0,nan,1.0,ok
qae,4,sequential,lightning.qubit,False,3,30,1283.174733359677,71.24630155912911,1289.8878999985754,1192.7535000722855,30.254866656226415,0.02833543818455425,42.41217612821973,0.0,0.0,nan,1.0,ok
qae,4,row,lightning.qubit,False,3,30,1225.8957999680813,71.475984383809,1246.0846999892965,1130.0252999644727,30.254866656226415,0.02833543818455425,40.51896225150916,0.0,0.0,nan,1.0,ok
qae,4,column,lightning.qubit,False,3,30,1213.7913332941632,5.103431363165867,1213.2029999047518,1207.8559000510722,30.254866656226415,0.02833543818455425,40.11887895874651,0.0,0.0,nan,1.0,ok
qae,4,batch,lightning.qubit,False,3,30,1219.2820666435484,110.18372376085894,1228.5267000552267,1079.950499930419,30.254866656226415,0.02833543818455425,40.30036160786125,0.0,0.0,nan,1.0,ok
qae,4,hybrid,lightning.qubit,False,3,30,1218.0227000111092,36.36809049361987,1230.7734000496566,1168.496199999936,30.254866656226415,0.02833543818455425,40.258736349791235,0.0,0.0,nan,1.0,ok
qae,4,layer-parallel,lightning.qubit,False,3,30,1165.5318333456914,38.80908720851068,1188.847600016743,1110.844900016673,30.254866656226415,0.02833543818455425,38.52378020994604,0.0,0.0,nan,1.0,ok
qae,5,sequential,lightning.qubit,False,3,30,1136.7555666559686,60.135218458488765,1117.791899945587,1074.4415000081062,32.65220004444321,0.10456343948465262,34.81405740221853,0.0,0.0,nan,1.0,ok
qae,5,row,lightning.qubit,False,3,30,1181.6614999746282,43.37874989981735,1184.4711999874562,1127.1844999864697,32.65220004444321,0.10456343948465262,36.189337881253266,0.0,0.0,nan,1.0,ok
qae,5,column,lightning.qubit,False,3,30,1249.1172999919702,46.13887883870383,1261.3879999844357,1187.4817999778315,32.65220004444321,0.10456343948465262,38.25522624177805,0.0,0.0,nan,1.0,ok
qae,5,batch,lightning.qubit,False,3,30,1144.6321999731783,73.21657779134556,1182.4062999803573,1042.2535999678075,32.65220004444321,0.10456343948465262,35.05528565962504,0.0,0.0,nan,1.0,ok
qae,5,hybrid,lightning.qubit,False,3,30,1136.0581667007257,89.74131680869876,1121.2732000276446,1034.2888000886887,32.65220004444321,0.10456343948465262,34.79269896528952,0.0,0.0,nan,1.0,ok
qae,5,layer-parallel,lightning.qubit,False,3,30,1219.4945333370317,58.867717151941214,1197.8990000206977,1160.6623000698164,32.65220004444321,0.10456343948465262,37.34800508624737,0.0,0.0,nan,1.0,ok
qae,6,sequential,lightning.qubit,False,3,30,1278.5566333526124,151.92691891497918,1203.4345000283793,1141.7899000225589,34.865033347159624,0.05674658174302785,36.671602192997,0.0,0.0,nan,1.0,ok
qae,6,row,lightning.qubit,False,3,30,1259.7544667078182,83.41288498278853,1292.0833000680432,1145.3419000608847,34.865033347159624,0.05674658174302785,36.132317848778065,0.0,0.0,nan,1.0,ok
qae,6,column,lightning.qubit,False,3,30,1257.354800007306,27.80929118234747,1269.9451999505982,1218.7927999766544,34.865033347159624,0.05674658174302785,36.06349053183223,0.0,0.0,nan,1.0,ok
qae,6,batch,lightning.qubit,False,3,30,1190.9833666868508,42.941978153221676,1176.2625999981537,1147.319299983792,34.865033347159624,0.05674658174302785,34.1598229615311,0.0,0.0,nan,1.0,ok
qae,6,hybrid,lightning.qubit,False,3,30,1228.0863333726302,41.877647242251925,1243.459100020118,1170.8685000194237,34.865033347159624,0.05674658174302785,35.22401143702562,0.0,0.0,nan,1.0,ok
qae,6,layer-parallel,lightning.qubit,False,3,30,1168.1491666240618,73.82607428507771,1120.0011000037193,1111.9937999173999,34.865033347159624,0.05674658174302785,33.50489170604015,0.0,0.0,nan,1.0,ok
qae,8,sequential,lightning.qubit,False,3,30,1339.2117666468646,61.9804534438247,1382.416300009936,1251.5611000126228,39.467066642828286,0.018338360878217812,33.93238668499367,0.0,0.0,nan,1.0,ok
