algo,n_qubits,mode,competitor,noisy,trials,n_epochs,lret_mean_ms,lret_std_ms,lret_median_ms,lret_min_ms,comp_mean_ms,comp_std_ms,time_ratio,lret_peak_mb,comp_peak_mb,memory_ratio,accuracy_ratio,status
qaoa,1,sequential,lightning.qubit,False,3,30,1161.611433334959,66.80868207048944,1130.5900999868754,1099.8345999978483,21.139500002997618,0.2365127041743428,54.94980643677667,0.04505599999999769,0.010922666666668116,4.1249999999992415,1.0,ok
qaoa,1,row,lightning.qubit,False,3,30,1215.739500010386,25.65023457748576,1216.256700019585,1184.0691000106744,21.139500002997618,0.2365127041743428,57.51032426679875,0.0013653333333252249,0.010922666666668116,0.12499999999924107,1.0,ok
qaoa,1,column,lightning.qubit,False,3,30,1296.39399999481,12.728280733464121,1303.7084999959916,1278.492899989942,21.139500002997618,0.2365127041743428,61.32566994540926,0.0,0.010922666666668116,0.0,1.0,ok
qaoa,1,batch,lightning.qubit,False,3,30,1222.2771000039454,66.54122598286105,1249.3398000078741,1130.6925000099,21.139500002997618,0.2365127041743428,57.8195841827207,0.0,0.010922666666668116,0.0,1.0,ok
qaoa,1,hybrid,lightning.qubit,False,3,30,1174.4213000056334,108.98190322307836,1202.8411000210326,1029.0251999977045,21.139500002997618,0.2365127041743428,55.55577472689034,0.0027306666666693977,0.010922666666668116,0.2500000000002169,1.0,ok
qaoa,1,layer-parallel,lightning.qubit,False,3,30,1242.205533325129,55.84197635999968,1258.3086999948137,1167.1986999863293,21.139500002997618,0.2365127041743428,58.76229490522397,0.0,0.010922666666668116,0.0,1.0,ok
qaoa,2,sequential,lightning.qubit,False,3,30,1180.6053666611358,88.30926239176705,1161.736900015967,1083.1247999740299,25.70323332717332,1.4950636039020588,45.93217326526022,0.09011200000000485,0.0,nan,1.0,ok
qaoa,2,row,lightning.qubit,False,3,30,1098.4887333373383,41.601490427062004,1116.6998999833595,1040.9343000210356,25.70323332717332,1.4950636039020588,42.73737546381069,0.019114666666666835,0.0,nan,1.0,ok
qaoa,2,column,lightning.qubit,False,3,30,1221.4171333277288,95.01131641980088,1208.580099977553,1112.0033000188414,25.70323332717332,1.4950636039020588,47.51997998774937,0.0,0.0,nan,1.0,ok
qaoa,2,batch,lightning.qubit,False,3,30,1169.0589666638214,31.80899683335866,1155.0027999910526,1139.0797999920323,25.70323332717332,1.4950636039020588,45.48295351728759,0.0,0.0,nan,1.0,ok
qaoa,2,hybrid,lightning.qubit,False,3,30,1278.4071666537784,118.1839456896043,1201.6673999896739,1188.1907999922987,25.70323332717332,1.4950636039020588,49.73721206126442,0.0,0.0,nan,1.0,ok
qaoa,2,layer-parallel,lightning.qubit,False,3,30,1285.51790000832,61.334090373393956,1252.2804000182077,1232.7518000092823,25.70323332717332,1.4950636039020588,50.013859487836406,0.0,0.0,nan,1.0,ok
qaoa,3,sequential,lightning.qubit,False,3,30,1216.490200002833,66.27425424194604,1207.111999974586,1140.4176000214648,27.693300003496308,0.2687527261068537,43.92723871294681,0.0,0.0,nan,1.0,ok
qaoa,3,row,lightning.qubit,False,3,30,1277.1078000077978,44.21847320393159,1273.6846999905538,1224.74420000799,27.693300003496308,0.2687527261068537,46.116129166497366,0.0,0.0,nan,1.0,ok
qaoa,3,column,lightning.qubit,False,3,30,1192.1643666767825,99.82299328900652,1171.04530002689,1081.8419999850448,27.693300003496308,0.2687527261068537,43.048837319000285,0.0,0.0,nan,1.0,ok
qaoa,3,batch,lightning.qubit,False,3,30,1278.9415666678299,79.96047537725161,1266.8626999948174,1187.6100999943446,27.693300003496308,0.2687527261068537,46.18234614532621,0.0027306666666693977,0.0,nan,1.0,ok
qaoa,3,hybrid,lightning.qubit,False,3,30,1244.7406333424926,42.362379833259226,1254.5106000034139,1188.667100010207,27.693300003496308,0.2687527261068537,44.94735669585578,0.0013653333333346989,0.0,nan,1.0,ok
qaoa,3,layer-parallel,lightning.qubit,False,3,30,1288.8876999980614,29.658371284208254,1302.8999000089243,1247.6445999927819,27.693300003496308,0.2687527261068537,46.5414992014436,0.0,0.0,nan,1.0,ok
qaoa,4,sequential,lightning.qubit,False,3,30,1159.8292333364952,47.95302346011861,1131.02460000664,1121.0623999941163,29.967066666965064,0.20182676512692246,38.70346224494043,0.0054613333333387954,0.0,nan,1.0,ok
qaoa,4,row,lightning.qubit,False,3,30,1140.5777999995432,59.524200231784924,1133.369599992875,1071.547700004885,29.967066666965064,0.20182676512692246,38.06104256633457,0.0,0.0,nan,1.0,ok
qaoa,4,column,lightning.qubit,False,3,30,1167.2478666781292,42.423261606448946,1151.7576000187546,1124.7969999967609,29.967066666965064,0.20182676512692246,38.95102178835788,0.0,0.0,nan,1.0,ok
qaoa,4,batch,lightning.qubit,False,3,30,1131.792233325541,70.92676890596316,1152.4497999926098,1036.4583999908064,29.967066666965064,0.20182676512692246,37.76786850389999,0.0,0.0,nan,1.0,ok
qaoa,4,hybrid,lightning.qubit,False,3,30,1231.84393333698,27.93295737882946,1242.026399995666,1193.6980000173207,29.967066666965064,0.20182676512692246,41.1065903455587,0.0013653333333346989,0.0,nan,1.0,ok
qaoa,4,layer-parallel,lightning.qubit,False,3,30,1315.0501999965247,27.122416373282828,1296.4466999983415,1295.3024999878835,29.967066666965064,0.20182676512692246,43.88318064664643,0.0,0.0,nan,1.0,ok
qaoa,5,sequential,lightning.qubit,False,3,30,1267.02440000372,52.82818753501815,1266.2582999910228,1202.7098000107799,32.29960000802142,0.05800291904468414,39.2272473866259,0.0,0.0,nan,1.0,ok
qaoa,5,row,lightning.qubit,False,3,30,1230.917633336503,100.37836803793198,1232.463699998334,1107.2140000178479,32.29960000802142,0.05800291904468414,38.10937699014266,0.0,0.0,nan,1.0,ok
qaoa,5,column,lightning.qubit,False,3,30,1221.3976666583524,41.70288282630742,1193.7026999949012,1190.1514999917708,32.29960000802142,0.05800291904468414,37.81463752972251,0.0,0.0,nan,1.0,ok
qaoa,5,batch,lightning.qubit,False,3,30,1221.3773333254114,151.66564828528385,1225.9150999889243,1033.3983000018634,32.29960000802142,0.05800291904468414,37.81400800697499,0.0,0.0,nan,1.0,ok
qaoa,5,hybrid,lightning.qubit,False,3,30,1130.4768000069696,27.40960285478258,1125.1376000000164,1099.8966000042856,32.29960000802142,0.05800291904468414,34.99971515827509,0.0,0.0,nan,1.0,ok
qaoa,5,layer-parallel,lightning.qubit,False,3,30,1117.1575333282817,110.5355587934586,1110.261099995114,985.3596999892034,32.29960000802142,0.05800291904468414,34.58734885419145,0.0,0.0,nan,1.0,ok
qaoa,6,sequential,lightning.qubit,False,3,30,1264.3832000127684,57.91707908562183,1243.7758000160102,1206.0350000101607,34.4150666690742,0.013880989789852366,36.73923436414431,0.0,0.004095999999994622,0.0,1.0,ok
qaoa,6,row,lightning.qubit,False,3,30,1326.2974333386712,18.841362723640714,1335.3241000149865,1300.0726999889594,34.4150666690742,0.013880989789852366,38.53827877458387,0.0,0.004095999999994622,0.0,1.0,ok
qaoa,6,column,lightning.qubit,False,3,30,1219.4636666681617,87.79551404091828,1205.1256999839097,1119.8249000008218,34.4150666690742,0.013880989789852366,35.43400564625338,0.0,0.004095999999994622,0.0,1.0,ok
