algo,n_qubits,mode,competitor,noisy,trials,n_epochs,lret_mean_ms,lret_std_ms,lret_median_ms,lret_min_ms,comp_mean_ms,comp_std_ms,time_ratio,lret_peak_mb,comp_peak_mb,memory_ratio,accuracy_ratio,status
qsvm,1,sequential,default.qubit,False,3,30,1128.0728666655098,120.83935129984269,1078.042099950835,1011.5753000136465,23.346466671985883,0.07830298846028978,48.318783416555185,0.006826666666673494,0.0,nan,1.0,ok
qsvm,1,row,default.qubit,False,3,30,1094.7650000064943,26.576883216772245,1080.8563999598846,1071.480100043118,23.346466671985883,0.07830298846028978,46.89210643253933,0.004095999999994622,0.0,nan,1.0,ok
qsvm,1,column,default.qubit,False,3,30,1095.528933336027,36.937927093335226,1091.1183999851346,1052.6562000159174,23.346466671985883,0.07830298846028978,46.92482801479269,0.004096000000004096,0.0,nan,1.0,ok
qsvm,1,batch,default.qubit,False,3,30,1120.8207666641101,62.44411079697596,1132.873099995777,1039.03210000135,23.346466671985883,0.07830298846028978,48.00815397085402,0.0,0.0,nan,1.0,ok
qsvm,1,hybrid,default.qubit,False,3,30,1050.7052000223969,66.68124785630759,1096.9221000559628,956.409800099209,23.346466671985883,0.07830298846028978,45.00489152318578,0.0,0.0,nan,1.0,ok
qsvm,1,layer-parallel,default.qubit,False,3,30,1072.5587333630149,49.88857282360687,1040.639500017278,1034.028199966997,23.346466671985883,0.07830298846028978,45.94094465909096,0.0,0.0,nan,1.0,ok
qsvm,2,sequential,default.qubit,False,3,30,1109.5558000185217,14.560331964246803,1115.2536000590771,1089.5704999566078,31.707566619540255,0.09081270437464113,34.993407514745755,0.0,0.0,nan,1.0,ok
qsvm,2,row,default.qubit,False,3,30,1108.0679000200082,31.932347934688135,1115.8332000486553,1065.65879995469,31.707566619540255,0.09081270437464113,34.946481807189365,0.0,0.0,nan,1.0,ok
qsvm,2,column,default.qubit,False,3,30,1075.5365666700527,82.7753303769391,1022.4564000964165,1011.718999943696,31.707566619540255,0.09081270437464113,33.920501676317144,0.0,0.0,nan,1.0,ok
qsvm,2,batch,default.qubit,False,3,30,1166.9820333287742,18.3970784925344,1179.2269999859855,1140.9793000202626,31.707566619540255,0.09081270437464113,36.80452831122033,0.0,0.0,nan,1.0,ok
qsvm,2,hybrid,default.qubit,False,3,30,1232.2350666703035,39.725835699966815,1213.0738999694586,1196.0789000149816,31.707566619540255,0.09081270437464113,38.86249239671771,0.0013653333333346989,0.0,nan,1.0,ok
qsvm,2,layer-parallel,default.qubit,False,3,30,1149.9858333651598,22.967699431336936,1144.6353000355884,1124.9158000573516,31.707566619540255,0.09081270437464113,36.26849853108766,0.0,0.0,nan,1.0,ok
qsvm,3,sequential,default.qubit,False,3,30,1072.0557999641944,56.780832169821274,1061.8628000374883,1008.1727999495342,38.539600015307464,0.31094746926694766,27.816993418156567,0.0,0.0,nan,1.0,ok
qsvm,3,row,default.qubit,False,3,30,1226.7484333133325,11.996145627621765,1228.3062000060454,1211.3394000334665,38.539600015307464,0.31094746926694766,31.830855349460887,0.0,0.0,nan,1.0,ok
qsvm,3,column,default.qubit,False,3,30,1131.9866999983788,14.565809422833823,1131.9911000318825,1114.1451000003144,38.539600015307464,0.31094746926694766,29.372040694474446,0.0,0.0,nan,1.0,ok
qsvm,3,batch,default.qubit,False,3,30,1194.8031000016879,35.18977513590447,1177.491100039333,1163.0523999920115,38.539600015307464,0.31094746926694766,31.001959011695153,0.0,0.0,nan,1.0,ok
qsvm,3,hybrid,default.qubit,False,3,30,1115.228966732199,46.8892514033079,1116.5042000357062,1057.1746000787243,38.539600015307464,0.31094746926694766,28.937222137470123,0.0,0.0,nan,1.0,ok
qsvm,3,layer-parallel,default.qubit,False,3,30,1162.333833325344,24.501527915560928,1161.327000008896,1132.841799990274,38.539600015307464,0.31094746926694766,30.15946799820649,0.0,0.0,nan,1.0,ok
qsvm,4,sequential,default.qubit,False,3,30,1259.7551666355382,82.42178764244179,1219.9406999861822,1184.7880999557674,44.8442999428759,0.028759673914527512,28.091756772661288,0.0,0.004096000000004096,0.0,1.0,ok
qsvm,4,row,default.qubit,False,3,30,1236.1660666841392,67.7193419892835,1231.8615999538451,1155.4632000625134,44.8442999428759,0.028759673914527512,27.565734513835803,0.0,0.004096000000004096,0.0,1.0,ok
qsvm,4,column,default.qubit,False,3,30,1171.2621999904513,103.09965011721614,1123.7861999543384,1075.6107999477535,44.8442999428759,0.028759673914527512,26.118418650362308,0.0,0.004096000000004096,0.0,1.0,ok
qsvm,4,batch,default.qubit,False,3,30,1135.204033382858,72.65148087778815,1113.7453999835998,1058.9161000680178,44.8442999428759,0.028759673914527512,25.314343959631817,0.0,0.004096000000004096,0.0,1.0,ok
qsvm,4,hybrid,default.qubit,False,3,30,1201.6811000260834,20.375570231651935,1188.9199999859557,1185.6873000506312,44.8442999428759,0.028759673914527512,26.796741203604988,0.0,0.004096000000004096,0.0,1.0,ok
qsvm,4,layer-parallel,default.qubit,False,3,30,1209.2006666352972,85.22005977998799,1240.2722999686375,1092.8204000229016,44.8442999428759,0.028759673914527512,26.964422862562593,0.0,0.004096000000004096,0.0,1.0,ok
qsvm,5,sequential,default.qubit,False,3,30,1128.0065999987225,51.59483161326383,1156.5512999659404,1055.5798000423238,51.20263334053258,0.10791461857825452,22.03024583709799,0.0,0.0027306666666693977,0.0,1.0,ok
qsvm,5,row,default.qubit,False,3,30,1122.7879332921777,56.84845284263213,1117.7442000480369,1055.822099908255,51.20263334053258,0.10791461857825452,21.928323995074024,0.0,0.0027306666666693977,0.0,1.0,ok
qsvm,5,column,default.qubit,False,3,30,1200.713933329098,104.4627256293089,1186.6594000020996,1080.3812999511138,51.20263334053258,0.10791461857825452,23.450237907560886,0.0,0.0027306666666693977,0.0,1.0,ok
qsvm,5,batch,default.qubit,False,3,30,1233.4851666431252,88.12674650904479,1205.5436000227928,1142.270699958317,51.20263334053258,0.10791461857825452,24.0902681399139,0.0,0.0027306666666693977,0.0,1.0,ok
qsvm,5,hybrid,default.qubit,False,3,30,1197.4820333610598,85.24122936586693,1209.396000020206,1087.6374000217766,51.20263334053258,0.10791461857825452,23.387118107714972,0.0,0.0027306666666693977,0.0,1.0,ok
qsvm,5,layer-parallel,default.qubit,False,3,30,1224.4637666347746,33.57948820068553,1240.2713999617845,1177.7789999032393,51.20263334053258,0.10791461857825452,23.914077982889122,0.0,0.0027306666666693977,0.0,1.0,ok
qsvm,6,sequential,default.qubit,False,3,30,1249.3383666345228,99.22022691858022,1302.674499922432,1110.2717999601737,57.68556667802235,0.3203364251062354,21.657728936040925,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,6,row,default.qubit,False,3,30,1280.1667999786634,90.67469632631528,1316.4449000032619,1155.5111999623477,57.68556667802235,0.3203364251062354,22.192150891470654,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,6,column,default.qubit,False,3,30,1333.2821666651096,19.90471070204042,1323.6132999882102,1315.2216000016779,57.68556667802235,0.3203364251062354,23.11292483450765,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,6,batch,default.qubit,False,3,30,1281.2241999975715,28.702971624520053,1272.12740003597,1251.5128999948502,57.68556667802235,0.3203364251062354,22.210481300267883,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,6,hybrid,default.qubit,False,3,30,1235.2995000158746,51.050592996129055,1247.522299992852,1167.566700023599,57.68556667802235,0.3203364251062354,21.41436014507442,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,6,layer-parallel,default.qubit,False,3,30,1244.8303666897118,23.27606071171969,1233.8127000257373,1223.4762000152841,57.68556667802235,0.3203364251062354,21.579581139210344,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,8,sequential,default.qubit,False,3,30,1400.9231000284974,6.506033404334519,1400.2097999909893,1393.3355000335723,72.99916667398065,0.3714054134296937,19.190946470459277,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,8,row,default.qubit,False,3,30,1303.4892999955143,9.432094550285731,1305.734800058417,1290.9794999286532,72.99916667398065,0.3714054134296937,17.856221644515315,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,8,column,default.qubit,False,3,30,1427.6246666364993,49.7783609868547,1435.8745999634266,1362.9540000110865,72.99916667398065,0.3714054134296937,19.5567255310238,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,8,batch,default.qubit,False,3,30,1475.8301333058625,21.075015936420254,1471.932000014931,1452.1893999772146,72.99916667398065,0.3714054134296937,20.2170819277571,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,8,hybrid,default.qubit,False,3,30,1431.623400033762,27.97598484804273,1451.3734000502154,1392.0594000956044,72.99916667398065,0.3714054134296937,19.611503326161127,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,8,layer-parallel,default.qubit,False,3,30,1344.0543999507402,87.30952357555492,1396.3502999395132,1221.0390999680385,72.99916667398065,0.3714054134296937,18.411914288739492,0.0,0.0013653333333346989,0.0,1.0,ok
qsvm,10,sequential,default.qubit,False,2,30,2791.5818499750458,21.29454998066649,2791.5818499750458,2770.2872999943793,93.57874997658655,1.0119500220753253,29.831365033979413,0.0,0.006143999999991934,0.0,1.0,ok
qsvm,10,row,default.qubit,False,2,30,2705.774600035511,46.21439997572452,2705.774600035511,2659.5602000597864,93.57874997658655,1.0119500220753253,28.914412734862317,0.0,0.006143999999991934,0.0,1.0,ok
qsvm,10,column,default.qubit,False,2,30,2729.9763499759138,16.089749988168478,2729.9763499759138,2713.8865999877453,93.57874997658655,1.0119500220753253,29.17303715489847,0.0,0.006143999999991934,0.0,1.0,ok
qsvm,10,batch,default.qubit,False,2,30,2644.325450004544,11.526449990924448,2644.325450004544,2632.7990000136197,93.57874997658655,1.0119500220753253,28.25775564074275,0.0,0.006143999999991934,0.0,1.0,ok
qsvm,10,hybrid,default.qubit,False,2,30,2706.9275000249036,27.62170002097264,2706.9275000249036,2679.305800003931,93.57874997658655,1.0119500220753253,28.926732839476678,0.0,0.006143999999991934,0.0,1.0,ok
qsvm,10,layer-parallel,default.qubit,False,2,30,2733.021699998062,76.52850000886247,2733.021699998062,2656.4931999891996,93.57874997658655,1.0119500220753253,29.2055803340167,0.0,0.006143999999991934,0.0,1.0,ok
