mode,n_qubits,n_threads,mean_ms,std_ms,speedup_vs_baseline,peak_memory_mb,final_rank,status
baseline,4,1,116.82556666589032,33.09360331368209,0.7443208065931581,0.00384,15.0,ok
baseline,4,2,70.66879999668647,13.496069775345434,1.230468042694024,0.00384,15.0,ok
baseline,4,4,69.35456664844726,9.4407479337813,1.2537847789061927,0.00384,15.0,ok
baseline,4,8,76.95646665524691,8.91337111459846,1.1299336337907295,0.00384,15.0,ok
baseline,4,16,74.60489999114846,4.383153539411373,1.1655494481163458,0.00384,15.0,ok
iterative_compression,4,1,102.75079998730992,4.679394096665987,0.8462775961082306,0.00384,15.0,ok
iterative_compression,4,2,86.06006666862716,11.686625332741285,1.010407072379803,0.00384,15.0,ok
iterative_compression,4,4,85.92953335028142,8.229785476641196,1.0119419554740718,0.00384,15.0,ok
iterative_compression,4,8,86.35723332796867,4.302554421904273,1.0069301280324336,0.00384,15.0,ok
iterative_compression,4,16,85.14530002139509,11.567678385625058,1.0212624770786907,0.00384,15.0,ok
full_opt,4,1,110.1075666762578,6.278044579272372,0.7897340994477564,0.00384,15.0,ok
full_opt,4,2,82.9903000073197,13.036378063054112,1.0477814877616878,0.00384,15.0,ok
full_opt,4,4,90.92886668319504,3.591029910035449,0.9563046718092321,0.00384,15.0,ok
full_opt,4,8,76.35736665300404,10.38920139037179,1.1387990946127953,0.00384,15.0,ok
full_opt,4,16,90.89280001353472,2.070309784235274,0.9566841377810981,0.00384,15.0,ok
baseline,6,1,420.97729999416816,81.8242206093702,1.1344343269890862,0.037888,37.666666666666664,ok
baseline,6,2,394.2619666534786,73.12299441353288,1.2113040069530965,0.037888,37.666666666666664,ok
baseline,6,4,426.47093332683045,82.14325466571078,1.119820983510206,0.037888,37.666666666666664,ok
baseline,6,8,575.942466656367,91.14356708033596,0.8291993170239816,0.037888,37.666666666666664,ok
baseline,6,16,607.1359000052325,97.2054697316398,0.7865967075780742,0.037888,37.666666666666664,ok
iterative_compression,6,1,407.40223331764963,71.15737469830117,1.1722348601466963,0.037888,37.666666666666664,ok
iterative_compression,6,2,373.56753333006054,71.22035218824594,1.2784063318870253,0.037888,37.666666666666664,ok
iterative_compression,6,4,425.26973333830637,67.7249790703588,1.122983985358427,0.037888,37.666666666666664,ok
iterative_compression,6,8,571.8817333108746,94.13627739363676,0.8350871730623356,0.037888,37.666666666666664,ok
iterative_compression,6,16,591.1680999949264,101.76956351376349,0.8078431498598545,0.037888,37.666666666666664,ok
full_opt,6,1,397.5264666369185,64.15434678650135,1.2013567399343934,0.037888,37.666666666666664,ok
full_opt,6,2,384.2876333316478,58.5562037418097,1.2427438683263938,0.037888,37.666666666666664,ok
full_opt,6,4,424.3680333214191,72.99397549802018,1.125370109192111,0.037888,37.666666666666664,ok
full_opt,6,8,592.4148666672409,92.83979824840142,0.8061430036069946,0.037888,37.666666666666664,ok
