algo,competitor,noisy,n_qubits,lret_mean_ms,comp_mean_ms,time_ratio,lret_peak_mb,comp_peak_mb,memory_ratio,accuracy_ratio,pvalue,simulated,status
vqe_noiseless,lightning.qubit,False,4,391.6728999975021,87.13834999798564,4.494839528250837,0.11059199999999691,1.4540800000000047,0.07605633802816665,1.0000000000000002,1.0,False,ok
vqe_noisy,default.mixed,True,4,457.55094999913126,45.027300002402626,10.16163416360112,0.004096000000004096,0.018431999999990012,0.22222222222256488,1.0000071661018861,1.0,False,ok
qaoa,lightning.qubit,False,4,401.645500001905,10.725499996624421,37.44771806706566,0.0,0.0,nan,1.0,1.0,False,ok
qnn,default.mixed,True,4,424.77730000246083,46.236800008045975,9.186996070847085,0.0,0.0,nan,1.000022610933307,1.0,False,ok
qft,lightning.qubit,False,4,423.1730499959667,10.863650000828784,38.95311888395548,0.0,0.0,nan,1.0,1.0,False,ok
grover,lightning.qubit,False,4,398.2164999979432,10.829400009242818,36.771797113235095,0.0,0.0,nan,1.0000000000000002,1.0,False,ok
qpe,lightning.qubit,False,4,429.0792500032694,11.055499999201857,38.8113834773865,0.0,0.0,nan,0.9999999999999999,1.0,False,ok
metrology,default.mixed,True,4,496.0906999913277,46.78544999478618,10.60352524228393,0.0,0.0,nan,1.0000173006591955,1.0,False,ok
uccsd_vqe,default.mixed,True,4,442.470099995262,44.882599999255035,9.858388328719952,0.0,0.0,nan,1.0000242073466776,1.0,False,ok
portfolio_opt,lightning.qubit,False,4,438.50545000168495,10.898599997744896,40.23502560809821,0.0,0.0,nan,0.9999999999999999,1.0,False,ok
qsvm,default.qubit,False,4,403.00540000316687,17.253550002351403,23.35782490839527,0.0,0.0,nan,1.0,1.0,False,ok
qae,lightning.qubit,False,4,388.95824999781325,11.892949994944502,32.70494285800857,0.0,0.0,nan,0.9999999999999999,1.0,False,ok
vqd,default.mixed,True,4,442.5249500054633,45.05174999940209,9.822591797462614,0.002048000000002048,0.0,nan,1.0000134855031504,1.0,False,ok
qgan,default.mixed,True,4,410.0556499979575,47.90454999601934,8.559847656058377,0.0,0.0,nan,1.0000366045892457,1.0,False,ok
number_partition,lightning.qubit,False,4,420.1060499981395,11.265200002526399,37.292373850790405,0.0,0.0,nan,1.0,1.0,False,ok
vqt,default.mixed,True,4,501.9932499999413,46.00564999418566,10.911556516718813,0.002048000000002048,0.0,nan,1.0000567249309698,1.0,False,ok
quantum_walk,lightning.qubit,False,4,395.99969999835594,10.60065000638133,37.35617153287524,0.0,0.0,nan,0.9999999999999997,1.0,False,ok
kernel_alignment,default.qubit,False,4,410.01225000218255,16.52260000264505,24.815237912710167,0.0,0.0,nan,1.0,1.0,False,ok
subsampling_qnn,default.mixed,True,4,435.1005999997142,47.01105000276584,9.255283597667262,0.0,0.0,nan,1.000023423498417,1.0,False,ok
adapt_vqe,default.mixed,True,4,443.030849994102,46.96729999704985,9.432751084731931,0.0,0.0,nan,1.0000578150895785,1.0,False,ok
